2026-09-20 03:07:36 UTC
23:07  up 1 day, 15:32, 2 users, load averages: 15.06 8.45 6.13
measure.py --best-of 5 --parts corpus before=/Users/robertguss/Projects/startups/mo-lang-worktrees/toolchain-step-42-review-fixes/toolchain/bench/step38/work/trees/be64e8a5086f6a47dcb6683d1313579d1e6f35a6/toolchain after=/Users/robertguss/Projects/startups/mo-lang-worktrees/toolchain-step-42-review-fixes/toolchain

sample corpus before deferred-large run 1/5: 0.038338 s; load 12.91 8.29 6.12
sample corpus after deferred-large run 1/5: 0.045263 s; load 12.91 8.29 6.12
sample corpus after deferred-large binary 1/5: 0.214170 s; load 12.91 8.29 6.12
sample corpus before deferred-large binary 1/5: 0.178135 s; load 12.91 8.29 6.12
sample corpus after spread run 1/5: 0.078099 s; load 12.91 8.29 6.12
sample corpus before spread run 1/5: 0.080539 s; load 12.91 8.29 6.12
sample corpus before spread binary 1/5: 0.259991 s; load 12.91 8.29 6.12
sample corpus after spread binary 1/5: 0.270716 s; load 12.91 8.29 6.12
sample corpus before duplex run 1/5: 0.813090 s; load 12.91 8.29 6.12
sample corpus after duplex run 1/5: 0.807825 s; load 12.19 8.22 6.11
sample corpus after duplex binary 1/5: 0.716998 s; load 12.19 8.22 6.11
sample corpus before duplex binary 1/5: 0.699623 s; load 12.19 8.22 6.11
sample corpus after duplex binary 2/5: 0.472445 s; load 12.19 8.22 6.11
sample corpus before duplex binary 2/5: 0.467038 s; load 12.19 8.22 6.11
sample corpus before duplex run 2/5: 0.773532 s; load 12.19 8.22 6.11
sample corpus after duplex run 2/5: 0.825628 s; load 12.19 8.22 6.11
sample corpus before spread binary 2/5: 0.118599 s; load 11.46 8.14 6.09
sample corpus after spread binary 2/5: 0.095230 s; load 11.46 8.14 6.09
sample corpus after spread run 2/5: 0.076600 s; load 11.46 8.14 6.09
sample corpus before spread run 2/5: 0.077550 s; load 11.46 8.14 6.09
sample corpus after deferred-large binary 2/5: 0.037820 s; load 11.46 8.14 6.09
sample corpus before deferred-large binary 2/5: 0.055634 s; load 11.46 8.14 6.09
sample corpus before deferred-large run 2/5: 0.039957 s; load 11.46 8.14 6.09
sample corpus after deferred-large run 2/5: 0.038647 s; load 11.46 8.14 6.09
sample corpus before deferred-large run 3/5: 0.038348 s; load 11.46 8.14 6.09
sample corpus after deferred-large run 3/5: 0.038602 s; load 11.46 8.14 6.09
sample corpus after deferred-large binary 3/5: 0.038057 s; load 11.46 8.14 6.09
sample corpus before deferred-large binary 3/5: 0.038419 s; load 11.46 8.14 6.09
sample corpus after spread run 3/5: 0.081796 s; load 11.46 8.14 6.09
sample corpus before spread run 3/5: 0.076357 s; load 11.46 8.14 6.09
sample corpus before spread binary 3/5: 0.096135 s; load 11.46 8.14 6.09
sample corpus after spread binary 3/5: 0.091465 s; load 11.46 8.14 6.09
sample corpus before duplex run 3/5: 0.815415 s; load 11.46 8.14 6.09
sample corpus after duplex run 3/5: 0.805828 s; load 11.46 8.14 6.09
sample corpus after duplex binary 3/5: 0.472012 s; load 11.46 8.14 6.09
sample corpus before duplex binary 3/5: 0.494259 s; load 11.46 8.14 6.09
sample corpus after duplex binary 4/5: 0.501473 s; load 11.46 8.14 6.09
sample corpus before duplex binary 4/5: 0.482460 s; load 11.46 8.14 6.09
sample corpus before duplex run 4/5: 0.835137 s; load 11.10 8.12 6.09
sample corpus after duplex run 4/5: 0.795145 s; load 11.10 8.12 6.09
sample corpus before spread binary 4/5: 0.092974 s; load 11.10 8.12 6.09
sample corpus after spread binary 4/5: 0.095006 s; load 11.10 8.12 6.09
sample corpus after spread run 4/5: 0.079152 s; load 11.10 8.12 6.09
sample corpus before spread run 4/5: 0.078985 s; load 11.10 8.12 6.09
sample corpus after deferred-large binary 4/5: 0.039656 s; load 11.10 8.12 6.09
sample corpus before deferred-large binary 4/5: 0.040766 s; load 11.10 8.12 6.09
sample corpus before deferred-large run 4/5: 0.038092 s; load 11.10 8.12 6.09
sample corpus after deferred-large run 4/5: 0.038431 s; load 11.10 8.12 6.09
sample corpus before deferred-large run 5/5: 0.038148 s; load 11.10 8.12 6.09
sample corpus after deferred-large run 5/5: 0.039616 s; load 11.10 8.12 6.09
sample corpus after deferred-large binary 5/5: 0.039080 s; load 11.10 8.12 6.09
sample corpus before deferred-large binary 5/5: 0.050291 s; load 11.10 8.12 6.09
sample corpus after spread run 5/5: 0.080271 s; load 11.10 8.12 6.09
sample corpus before spread run 5/5: 0.077584 s; load 11.10 8.12 6.09
sample corpus before spread binary 5/5: 0.091197 s; load 11.10 8.12 6.09
sample corpus after spread binary 5/5: 0.115499 s; load 11.10 8.12 6.09
sample corpus before duplex run 5/5: 0.776750 s; load 11.10 8.12 6.09
sample corpus after duplex run 5/5: 0.823002 s; load 11.10 8.12 6.09
sample corpus after duplex binary 5/5: 0.473895 s; load 10.21 7.98 6.06
sample corpus before duplex binary 5/5: 0.487666 s; load 10.21 7.98 6.06
## Three executable corpus workloads under both runtimes: every interleaved sample (load average at the start 10.21 7.98 6.06; each row's beside it)

| sample | mo     | workload       | runtime | time       | load before     |
| before | spread         | run     | 0.076357 s | sample 3 | 11.46 8.14 6.09 |
| before | spread         | binary  | 0.091197 s | sample 5 | 11.10 8.12 6.09 |
| before | duplex         | run     | 0.773532 s | sample 2 | 12.19 8.22 6.11 |
| before | duplex         | binary  | 0.467038 s | sample 2 | 12.19 8.22 6.11 |
| after  | deferred-large | run     | 0.038431 s | sample 4 | 11.10 8.12 6.09 |
| after  | deferred-large | binary  | 0.037820 s | sample 2 | 11.46 8.14 6.09 |
| after  | spread         | run     | 0.076600 s | sample 2 | 11.46 8.14 6.09 |
| after  | spread         | binary  | 0.091465 s | sample 3 | 11.46 8.14 6.09 |
| after  | duplex         | run     | 0.795145 s | sample 4 | 11.10 8.12 6.09 |
| after  | duplex         | binary  | 0.472012 s | sample 3 | 11.46 8.14 6.09 |

